# Data taken with Python For the Lab (MC version)
# Scan folder: Nir_run_1 
# First col: Freq in MHz
# Second col: Wavelength nm 
# Third col: Amplitude (intensity from Spectrometer units with 15uW int time) 
# Fourth col: Spectral width in nm 
68.00000 828.11598 874.00000 1.24987
68.25000 825.47774 897.33300 1.21486
68.50000 822.65683 993.33300 1.13919
68.75000 820.17098 1015.00000 1.19777
69.00000 817.53296 1056.66700 1.17543
69.25000 814.81412 1095.33300 1.21177
69.50000 812.28875 1058.00000 1.28569
69.75000 809.74694 1052.33300 1.19157
70.00000 807.07533 1107.66700 1.14358
70.25000 804.66776 1070.33300 1.17716
70.50000 802.10349 1123.66700 1.14416
70.75000 799.55421 1116.66700 1.24123
71.00000 797.05491 1190.66700 1.12750
71.25000 794.57441 1230.00000 1.15261
71.50000 792.04871 1238.66700 1.11439
71.75000 789.69137 1282.00000 1.06688
72.00000 787.25495 1332.66700 1.04503
72.25000 784.90333 1371.66700 1.04885
72.50000 782.49173 1306.66700 1.04120
72.75000 780.20096 1284.00000 1.06687
73.00000 777.73357 1274.00000 1.03548
73.25000 775.45937 1320.33300 0.99834
73.50000 773.14208 1379.66700 0.99204
73.75000 770.85835 1382.00000 1.03884
74.00000 768.57370 1395.66700 1.03348
74.25000 766.38718 1468.33300 1.03872
74.50000 764.11859 1522.00000 1.02266
74.75000 761.82595 1736.66700 0.97782
75.00000 759.71194 2022.33300 0.97254
75.25000 757.48897 2216.33300 1.00861
75.50000 755.34357 2451.00000 0.99386
75.75000 753.19958 2647.66700 1.00366
76.00000 751.03222 2801.00000 1.01072
76.25000 748.90934 3061.66700 0.99397
76.50000 746.79270 3283.66700 1.00572
76.75000 744.72384 3635.66700 0.98991
77.00000 742.62449 3884.66700 0.98451
77.25000 740.56924 4092.00000 0.98248
77.50000 738.49715 4278.00000 0.98776
77.75000 736.43421 4305.66700 0.97201
78.00000 734.40319 4666.66700 0.96483
78.25000 732.36864 4925.33300 0.93933
78.50000 730.38508 5111.66700 0.95417
78.75000 728.38339 5068.33300 0.97186
79.00000 726.41041 5200.33300 0.94511
79.25000 724.40037 5268.66700 0.94260
79.50000 722.46657 5187.66700 0.92436
79.75000 720.51836 5111.66700 0.92822
80.00000 718.59719 5076.00000 0.91592
80.25000 716.69088 4962.00000 0.90958
80.50000 714.78049 4791.00000 0.89957
80.75000 712.88228 4404.66700 0.92957
81.00000 710.97625 4344.33300 0.89449
81.25000 709.09965 4117.66700 0.90164
81.50000 707.22387 3995.00000 0.90566
81.75000 705.37532 3944.33300 0.87711
82.00000 703.54438 3292.00000 0.88769
82.25000 701.72294 3423.66700 0.87916
82.50000 699.90024 3396.00000 0.87632
82.75000 698.08958 3477.33300 0.88743
83.00000 696.29795 3598.66700 0.86140
83.25000 694.57220 3804.33300 0.86881
83.50000 692.81718 3998.00000 0.86565
83.75000 691.08765 4323.33300 0.86293
84.00000 689.36482 4748.00000 0.83925
84.25000 687.62783 5000.66700 0.84431
84.50000 685.93715 5328.66700 0.85381
84.75000 684.25870 5901.66700 0.83634
85.00000 682.58342 6077.66700 0.84003
85.25000 680.90245 6350.66700 0.84902
85.50000 679.20096 7453.00000 0.82941
85.75000 677.56738 8347.00000 0.82386
86.00000 675.91900 9224.33300 0.83156
86.25000 674.28157 9898.00000 0.83274
86.50000 672.65024 10888.66700 0.82703
