# Data taken with Python For the Lab (MC version)
# Scan folder: AOFT_freq_to_wavelength_calibration_1 
# First col: Freq in MHz
# Second col: Wavelength nm 
# Third col: Amplitude (intensity from Spectrometer units with 10us int time) 
# Fourth col: Spectral width in nm 
68.00000 828.75490 1311.00000 1.15574
68.01000 828.67918 1325.66700 1.19476
68.02000 828.64126 1321.66700 1.19355
68.03000 828.47892 1301.66700 1.19655
68.04000 828.40561 1263.00000 1.24362
68.05000 828.29421 1258.33300 1.20307
68.06000 828.20067 1286.66700 1.24732
68.07000 828.04167 1226.33300 1.26772
68.08000 827.93724 1214.33300 1.30873
68.09000 827.75615 1186.66700 1.32207
68.10000 827.66625 1204.66700 1.31143
68.11000 827.48766 1215.00000 1.29531
68.12000 827.37945 1183.33300 1.29782
68.13000 827.27496 1171.33300 1.34037
68.14000 827.06005 1194.33300 1.32830
68.15000 826.93986 1200.00000 1.29911
68.16000 826.80866 1202.00000 1.34759
68.17000 826.68887 1200.00000 1.29672
68.18000 826.56399 1218.33300 1.31975
68.19000 826.40839 1280.33300 1.18643
68.20000 826.26294 1242.00000 1.20452
68.21000 826.15550 1237.33300 1.22851
68.22000 826.07685 1258.66700 1.17506
68.23000 826.03202 1304.00000 1.14808
68.24000 825.86265 1348.66700 1.17132
68.25000 825.74823 1396.33300 1.07507
68.26000 825.70376 1391.00000 1.09846
68.27000 825.64367 1384.66700 1.07519
68.28000 825.51056 1391.33300 1.09923
68.29000 825.45497 1381.66700 1.05875
68.30000 825.30930 1403.33300 1.09527
68.31000 825.27191 1388.33300 1.10069
68.32000 825.22329 1350.66700 1.17564
68.33000 825.11916 1380.66700 1.15291
68.34000 825.03471 1410.00000 1.12710
68.35000 824.84635 1324.33300 1.27725
68.36000 824.72563 1312.33300 1.23149
68.37000 824.60954 1283.00000 1.27829
68.38000 824.43442 1246.33300 1.33830
68.39000 824.37385 1267.33300 1.35633
68.40000 824.18307 1354.33300 1.30293
68.41000 824.12322 1326.33300 1.30652
68.42000 823.99499 1375.33300 1.28891
68.43000 823.80410 1389.00000 1.17153
68.44000 823.76654 1432.33300 1.13019
68.45000 823.68445 1399.33300 1.21227
68.46000 823.56475 1501.66700 1.07914
68.47000 823.46318 1440.66700 1.16231
68.48000 823.36544 1487.00000 1.09644
68.49000 823.26183 1502.66700 1.10147
68.50000 823.19640 1489.00000 1.08013
68.51000 823.16848 1449.33300 1.10405
68.52000 823.07139 1482.66700 1.06707
68.53000 822.90993 1443.33300 1.11613
68.54000 822.81485 1435.33300 1.16524
68.55000 822.69655 1359.66700 1.17890
68.56000 822.55328 1378.00000 1.20624
68.57000 822.46379 1392.66700 1.15757
68.58000 822.39160 1385.33300 1.20697
68.59000 822.27300 1432.33300 1.15602
68.60000 822.15063 1411.66700 1.18972
68.61000 821.99293 1408.33300 1.20370
68.62000 821.95209 1437.00000 1.15115
68.63000 821.83399 1411.66700 1.20830
68.64000 821.72550 1407.33300 1.14691
68.65000 821.62899 1410.33300 1.25195
68.66000 821.56695 1356.00000 1.19377
68.67000 821.44162 1365.00000 1.18413
68.68000 821.27401 1358.33300 1.18488
68.69000 821.12009 1411.33300 1.12901
68.70000 821.04213 1372.00000 1.24137
68.71000 820.95845 1411.00000 1.17188
68.72000 820.80098 1439.66700 1.17846
68.73000 820.75494 1407.00000 1.19680
68.74000 820.59981 1415.00000 1.22745
68.75000 820.57157 1429.00000 1.20839
68.76000 820.40491 1439.66700 1.16214
68.77000 820.29793 1488.00000 1.16247
68.78000 820.16043 1487.33300 1.12208
68.79000 820.11058 1482.33300 1.14611
68.80000 819.97078 1501.33300 1.16748
68.81000 819.93674 1474.66700 1.16022
68.82000 819.83093 1474.66700 1.12942
68.83000 819.72669 1517.00000 1.11291
68.84000 819.61569 1532.33300 1.08886
68.85000 819.55816 1505.66700 1.10684
68.86000 819.48412 1535.33300 1.09740
68.87000 819.31833 1597.33300 1.03562
68.88000 819.23896 1595.66700 1.03839
68.89000 819.18442 1590.33300 1.03458
68.90000 819.07972 1613.00000 1.05368
68.91000 818.97009 1545.33300 1.07186
68.92000 818.89417 1560.66700 1.07756
68.93000 818.83221 1513.33300 1.13438
68.94000 818.71632 1527.66700 1.12190
68.95000 818.66113 1475.66700 1.10176
68.96000 818.55301 1487.66700 1.12283
68.97000 818.38430 1426.00000 1.19275
68.98000 818.31724 1368.66700 1.22599
68.99000 818.22458 1340.33300 1.21407
69.00000 818.09551 1367.66700 1.26903
69.01000 817.93675 1347.00000 1.25973
69.02000 817.85422 1314.33300 1.29750
69.03000 817.76089 1364.00000 1.25215
69.04000 817.60062 1306.66700 1.26796
69.05000 817.47542 1344.00000 1.27867
69.06000 817.31211 1379.66700 1.24500
69.07000 817.26544 1366.00000 1.22564
69.08000 817.06902 1355.00000 1.26865
69.09000 817.02328 1339.33300 1.26529
69.10000 816.84872 1357.33300 1.20958
69.11000 816.69086 1434.33300 1.14148
69.12000 816.56163 1430.33300 1.14885
69.13000 816.56440 1420.33300 1.16366
69.14000 816.46493 1466.00000 1.13225
69.15000 816.26803 1498.00000 1.06151
69.16000 816.23242 1436.66700 1.09030
